"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","stdorToU","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2012-01-31,1.13,"16","2","winter","ToU","ACORN-F",0.55,0.84,5.62,"1",13.256916675
2012-01-31,1.13,"16","2","winter","Std","ACORN-G",0.55,0.84,5.62,"1",14.503049995
2012-01-31,1.13,"16","2","winter","ToU","ACORN-G",0.55,0.84,5.62,"1",8.043
2012-01-31,1.13,"16","2","winter","Std","ACORN-H",0.55,0.84,5.62,"1",11.1965238047619
2012-01-31,1.13,"16","2","winter","ToU","ACORN-H",0.55,0.84,5.62,"1",10.6726
2012-01-31,1.13,"16","2","winter","Std","ACORN-I",0.55,0.84,5.62,"1",13.361
2012-01-31,1.13,"16","2","winter","Std","ACORN-J",0.55,0.84,5.62,"1",20.2624
2012-01-31,1.13,"16","2","winter","ToU","ACORN-J",0.55,0.84,5.62,"1",15.45999995
2012-01-31,1.13,"16","2","winter","Std","ACORN-K",0.55,0.84,5.62,"1",11.8424118
2012-01-31,1.13,"16","2","winter","ToU","ACORN-K",0.55,0.84,5.62,"1",27.232
2012-01-31,1.13,"16","2","winter","Std","ACORN-L",0.55,0.84,5.62,"1",17.29600001
2012-01-31,1.13,"16","2","winter","ToU","ACORN-L",0.55,0.84,5.62,"1",10.8118333333333
2012-01-31,1.13,"16","2","winter","Std","ACORN-M",0.55,0.84,5.62,"1",16.8124
2012-01-31,1.13,"16","2","winter","Std","ACORN-N",0.55,0.84,5.62,"1",9.414
2012-01-31,1.13,"16","2","winter","ToU","ACORN-N",0.55,0.84,5.62,"1",24.375
2012-01-31,1.13,"16","2","winter","Std","ACORN-O",0.55,0.84,5.62,"1",15.08899995
2012-01-31,1.13,"16","2","winter","ToU","ACORN-O",0.55,0.84,5.62,"1",9.2090001
2012-01-31,1.13,"16","2","winter","Std","ACORN-P",0.55,0.84,5.62,"1",5.194375
2012-01-31,1.13,"16","2","winter","ToU","ACORN-P",0.55,0.84,5.62,"1",4.886
2012-01-31,1.13,"16","2","winter","Std","ACORN-Q",0.55,0.84,5.62,"1",12.1017468303797
2012-01-31,1.13,"16","2","winter","ToU","ACORN-Q",0.55,0.84,5.62,"1",14.9219999857143
2012-01-31,1.13,"16","2","winter","Std","ACORN-U",0.55,0.84,5.62,"1",11.559
2012-01-31,1.13,"16","2","winter","ToU","ACORN-U",0.55,0.84,5.62,"1",5.444
2013-01-11,5.7,"16","5","winter","Std","ACORN-A",0.52,0.93,5.7,"1",23.5840683803419
2013-01-11,5.7,"16","5","winter","ToU","ACORN-A",0.52,0.93,5.7,"1",18.5326842210526
2013-01-11,5.7,"16","5","winter","Std","ACORN-B",0.52,0.93,5.7,"1",11.8330000095238
2013-01-11,5.7,"16","5","winter","ToU","ACORN-B",0.52,0.93,5.7,"1",20.693750025
2013-01-11,5.7,"16","5","winter","Std","ACORN-C",0.52,0.93,5.7,"1",15.6687844775862
2013-01-11,5.7,"16","5","winter","ToU","ACORN-C",0.52,0.93,5.7,"1",11.5108181969697
2013-01-11,5.7,"16","5","winter","Std","ACORN-D",0.52,0.93,5.7,"1",17.2554905632075
2013-01-11,5.7,"16","5","winter","ToU","ACORN-D",0.52,0.93,5.7,"1",16.1083561712329
2013-01-11,5.7,"16","5","winter","Std","ACORN-E",0.52,0.93,5.7,"1",13.2917563598031
2013-01-11,5.7,"16","5","winter","ToU","ACORN-E",0.52,0.93,5.7,"1",10.9536913928783
2013-01-11,5.7,"16","5","winter","Std","ACORN-F",0.52,0.93,5.7,"1",10.9398802269962
2013-01-11,5.7,"16","5","winter","ToU","ACORN-F",0.52,0.93,5.7,"1",9.89817217880795
2013-01-11,5.7,"16","5","winter","Std","ACORN-G",0.52,0.93,5.7,"1",12.9223566859873
2013-01-11,5.7,"16","5","winter","ToU","ACORN-G",0.52,0.93,5.7,"1",10.1747659638298
2013-01-11,5.7,"16","5","winter","Std","ACORN-H",0.52,0.93,5.7,"1",13.1715163057065
2013-01-11,5.7,"16","5","winter","ToU","ACORN-H",0.52,0.93,5.7,"1",11.4885301277108
2013-01-11,5.7,"16","5","winter","Std","ACORN-I",0.52,0.93,5.7,"1",11.2674634243902
2013-01-11,5.7,"16","5","winter","ToU","ACORN-I",0.52,0.93,5.7,"1",11.2986250125
2013-01-11,5.7,"16","5","winter","Std","ACORN-J",0.52,0.93,5.7,"1",16.0855063379747
2013-01-11,5.7,"16","5","winter","ToU","ACORN-J",0.52,0.93,5.7,"1",11.8710645322581
2013-01-11,5.7,"16","5","winter","Std","ACORN-K",0.52,0.93,5.7,"1",11.0853475106383
2013-01-11,5.7,"16","5","winter","ToU","ACORN-K",0.52,0.93,5.7,"1",12.2014090863636
2013-01-11,5.7,"16","5","winter","Std","ACORN-L",0.52,0.93,5.7,"1",11.9015757537879
2013-01-11,5.7,"16","5","winter","ToU","ACORN-L",0.52,0.93,5.7,"1",10.7579473697368
2013-01-11,5.7,"16","5","winter","Std","ACORN-M",0.52,0.93,5.7,"1",12.4700624895833
2013-01-11,5.7,"16","5","winter","ToU","ACORN-M",0.52,0.93,5.7,"1",12.0732352941176
2013-01-11,5.7,"16","5","winter","Std","ACORN-N",0.52,0.93,5.7,"1",10.7761199984
2013-01-11,5.7,"16","5","winter","ToU","ACORN-N",0.52,0.93,5.7,"1",9.458799992
2013-01-11,5.7,"16","5","winter","Std","ACORN-O",0.52,0.93,5.7,"1",9.61846512325581
2013-01-11,5.7,"16","5","winter","ToU","ACORN-O",0.52,0.93,5.7,"1",9.6215625125
2013-01-11,5.7,"16","5","winter","Std","ACORN-P",0.52,0.93,5.7,"1",8.93997702873563
2013-01-11,5.7,"16","5","winter","ToU","ACORN-P",0.52,0.93,5.7,"1",4.08154545454545
2013-01-11,5.7,"16","5","winter","Std","ACORN-Q",0.52,0.93,5.7,"1",8.44972482042553
2013-01-11,5.7,"16","5","winter","ToU","ACORN-Q",0.52,0.93,5.7,"1",7.74503389576271
2013-01-11,5.7,"16","5","winter","Std","ACORN-U",0.52,0.93,5.7,"1",17.0144473894737
2013-01-11,5.7,"16","5","winter","ToU","ACORN-U",0.52,0.93,5.7,"1",10.23410003
2012-01-18,11.92,"16","3","winter","Std","ACORN-A",0.76,0.93,6.28,"1",15.8703
2012-01-18,11.92,"16","3","winter","ToU","ACORN-A",0.76,0.93,6.28,"1",21.232
2012-01-18,11.92,"16","3","winter","Std","ACORN-B",0.76,0.93,6.28,"1",8.444
2012-01-18,11.92,"16","3","winter","Std","ACORN-C",0.76,0.93,6.28,"1",15.93560006
2012-01-18,11.92,"16","3","winter","ToU","ACORN-C",0.76,0.93,6.28,"1",8.65633333333333
2012-01-18,11.92,"16","3","winter","Std","ACORN-D",0.76,0.93,6.28,"1",20.1496428714286
2012-01-18,11.92,"16","3","winter","ToU","ACORN-D",0.76,0.93,6.28,"1",13.88319994
2012-01-18,11.92,"16","3","winter","Std","ACORN-E",0.76,0.93,6.28,"1",14.343477611194
2012-01-18,11.92,"16","3","winter","ToU","ACORN-E",0.76,0.93,6.28,"1",12.4708333222222
2012-01-18,11.92,"16","3","winter","Std","ACORN-F",0.76,0.93,6.28,"1",10.0773692369231
2012-01-18,11.92,"16","3","winter","ToU","ACORN-F",0.76,0.93,6.28,"1",10.5822
2012-01-18,11.92,"16","3","winter","Std","ACORN-G",0.76,0.93,6.28,"1",10.42987500625
2012-01-18,11.92,"16","3","winter","ToU","ACORN-G",0.76,0.93,6.28,"1",8.369
2012-01-18,11.92,"16","3","winter","Std","ACORN-H",0.76,0.93,6.28,"1",10.5918888944444
2012-01-18,11.92,"16","3","winter","ToU","ACORN-H",0.76,0.93,6.28,"1",9.2665
2012-01-18,11.92,"16","3","winter","Std","ACORN-J",0.76,0.93,6.28,"1",18.8748749
2012-01-18,11.92,"16","3","winter","ToU","ACORN-J",0.76,0.93,6.28,"1",14.52949995
2012-01-18,11.92,"16","3","winter","Std","ACORN-K",0.76,0.93,6.28,"1",11.5085625
2012-01-18,11.92,"16","3","winter","ToU","ACORN-K",0.76,0.93,6.28,"1",28.885
2012-01-18,11.92,"16","3","winter","Std","ACORN-L",0.76,0.93,6.28,"1",16.4773888888889
2012-01-18,11.92,"16","3","winter","ToU","ACORN-L",0.76,0.93,6.28,"1",10.5186
2012-01-18,11.92,"16","3","winter","Std","ACORN-M",0.76,0.93,6.28,"1",11.84480004
