"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","energy_sum"
2013-04-18,11.95,"19","4","spring",0.47,0.69,13.12,"4",9.25026850964928
2012-04-21,14.03,"19","6","spring",0.29,0.78,13.12,"4",10.2373611099773
2012-04-29,17.15,"19","7","spring",0.32,0.68,13.13,"4",11.5585434884521
2013-04-29,13.71,"19","1","spring",0.22,0.62,13.15,"4",9.06303884040141
2013-04-26,10.36,"19","5","spring",0.39,0.71,13.16,"4",8.77842514832838
2013-04-28,13.41,"19","7","spring",0.45,0.59,13.18,"4",10.0098241978257
2012-04-09,12.9,"18","1","spring",0.37,0.7,13.18,"4",10.6329381068606
2012-04-14,6.16,"18","6","spring",0.25,0.66,13.33,"4",10.2552783720294
2013-05-19,16.87,"19","7","spring",0.81,0.84,7.31,"5",9.23372603556509
2012-05-23,25.66,"19","3","spring",0.31,0.78,7.47,"5",8.03159892563414
2012-05-08,15.18,"19","2","spring",0.77,0.92,8.14,"5",9.21898375255889
2012-05-01,13.81,"19","2","spring",0.78,0.85,8.66,"5",9.20682369256198
2013-05-29,14.69,"20","3","spring",0.94,0.86,8.71,"5",9.11234303781262
2012-05-21,24.46,"19","1","spring",0.47,0.75,8.93,"5",8.81353391784933
2012-05-02,7.73,"19","3","spring",0.82,0.9,9.04,"5",9.28573214308036
2012-05-29,24.11,"20","2","spring",0.4,0.72,9.08,"5",8.00506552777933
2013-05-28,12.79,"20","2","spring",0.76,0.87,9.24,"5",8.9954750800448
2013-05-27,12.13,"20","1","spring",0.67,0.86,9.37,"5",8.55665845403136
2012-05-22,25.43,"19","2","spring",0.17,0.75,9.46,"5",8.22785083722983
2013-05-07,16.81,"19","2","spring",0.52,0.77,9.8,"5",8.30699609093616
2012-05-24,24.14,"20","4","spring",0.09,0.64,9.83,"5",7.96099559641809
2012-05-18,16.42,"19","5","spring",0.65,0.78,10.12,"5",8.92611295001623
2012-05-03,7.18,"19","4","spring",0.78,0.86,10.57,"5",10.0189359171752
2013-05-30,21.68,"20","4","spring",0.54,0.72,10.59,"5",9.05063902911298
2012-05-20,16.22,"19","7","spring",0.75,0.82,10.69,"5",9.7905447522859
