"date","Acorn","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2012-12-14,"ACORN-N",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,11.85720666
2012-12-14,"ACORN-O",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,9.78890291067961
2012-12-14,"ACORN-P",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,8.53375229908257
2012-12-14,"ACORN-Q",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,8.89079490400485
2012-12-14,"ACORN-U",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,16.2179166458333
2013-12-27,"ACORN-A",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,23.620626756338
2013-12-27,"ACORN-B",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,18.9752173869565
2013-12-27,"ACORN-C",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,15.3058857142857
2013-12-27,"ACORN-D",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,15.6583397667954
2013-12-27,"ACORN-E",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,11.3640574060241
2013-12-27,"ACORN-F",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,10.7246206956113
2013-12-27,"ACORN-G",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,11.4835208359375
2013-12-27,"ACORN-H",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,13.2726244207373
2013-12-27,"ACORN-I",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,10.916770825
2013-12-27,"ACORN-J",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,13.513656240625
2013-12-27,"ACORN-K",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,12.6405827781457
2013-12-27,"ACORN-L",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,11.9055607464174
2013-12-27,"ACORN-M",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,11.5593365317308
2013-12-27,"ACORN-N",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,10.7045138854167
2013-12-27,"ACORN-O",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,8.71011702021277
2013-12-27,"ACORN-P",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,6.85114422980769
2013-12-27,"ACORN-Q",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,8.32332542700922
2013-12-27,"ACORN-U",10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,12.4471136181818
2011-12-16,"ACORN-A",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,15.79566665
2011-12-16,"ACORN-C",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,16.614999975
2011-12-16,"ACORN-D",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,22.7325714357143
2011-12-16,"ACORN-E",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,15.6099220571429
2011-12-16,"ACORN-F",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,10.769019996
2011-12-16,"ACORN-G",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,10.1158181818182
2011-12-16,"ACORN-H",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,10.2261111055556
2011-12-16,"ACORN-J",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,11.42400002
2011-12-16,"ACORN-K",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,13.4149999916667
2011-12-16,"ACORN-L",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,17.3581333133333
2011-12-16,"ACORN-M",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,10.1713333333333
2011-12-16,"ACORN-N",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,11.648749975
2011-12-16,"ACORN-O",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,5.519
2011-12-16,"ACORN-P",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,3.66650005
2011-12-16,"ACORN-Q",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,10.9343333166667
2011-12-16,"ACORN-U",0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,8.0885
2012-04-24,"ACORN-A",11.94,2.27,"19","2","spring",0.57,0.88,11.22,"4",6.86,988.28,18.5593333511111
2012-04-24,"ACORN-B",11.94,2.27,"19","2","spring",0.57,0.88,11.22,"4",6.86,988.28,7.97883333333333
2012-04-24,"ACORN-C",11.94,2.27,"19","2","spring",0.57,0.88,11.22,"4",6.86,988.28,10.844393930303
2012-04-24,"ACORN-D",11.94,2.27,"19","2","spring",0.57,0.88,11.22,"4",6.86,988.28,11.9463305059322
